TERM,MEANING,PRONOUNCED_AS
ITT,incapacité temporaire totale,
IVSE,intraveineuse avec seringue électrique,
JNM,jonction neuromusculaire,
KT,cathéter,
LADA,latent autoimmune diabetes in the adult (diabète de type 1 lent),lada
LAM5,leucémie aigüe monoblastique (leucémie aigüe myéloblastique de type 5),lame-5
LAP,"lésions anopérinéales (notamment lors des MICI), logiciel d'aide à la prescription ou liste des actes et prestations (actes autorisés par le contrôle médical en cas de maladie de longue durée)",lappe
LCA,"lecture critique d'article, ligament croisé antérieur",
LDGCB,lymphome diffus à grandes cellules B,
LEAD,lupus érythémateux aigu disséminé,lède;lïde
LES,lupus érythémateux systémique,
LID,lobe inférieur droit,L-I-D;lïde
LIG,lobe inférieur gauche,L-I-G;ligue
LMC,leucémie myéloïde chronique,
LMD,lobe moyen droit,
LMIEBG,lésion malpighienne intraépithéliale de bas grade,
LMIEHG,lésion malpighienne intraépithéliale de haut grade,
LNH,lymphome non hodgkinien,
LP,libération prolongée (médicament),
LPPR,liste des produits et prestations remboursables,
LPV,"leucocidine de Panton-Valentine",
LSG,lobe supérieur gauche,
LSIL,low-grade squamous intraepithelial lesion,L-çil
MAIA,maison pour l'autonomie et l'intégration des malades d'Alzheimer,maya
MAS,maison d'accueil spécialisé,
MAV,malformation artérioveineuse,mave
MBG,membrane basale glomérulaire,
MCE,massage cardiaque externe,
MCU-PH,maitre de conférence universitaire-praticien hospitalier,
MDO,maladie à déclaration obligatoire,
MDV,mode de vie,
MEOPA,mélange équimolaire d'oxygène et de protoxyde d'azote,méopah
MGG,coloration de May-Grünwald Giemsa,
MMR,mismatch repair,
MNA,(évaluation de l'état nutritionnel),
MOCA,Montreal cognitive assessment (outil d’évaluation des fonctions cognitives),moca
MRKH,syndrome de Mayer-Rokitansky-Küster-Hauser,
MRSA,(staphylococcus aureus résistant à la méticilline),
MSF,Médecins sans frontières,
MSI,microsatellite instability (instabilité des microsatellites),
MT,médecin traitant,
MTEV,maladie thromboembolique veineuse,
MTMV,modifications thérapeutiques du mode de vie,
NACO,nouvel anticoagulant oral,naco
NCC,cotransporteur sodium-chlore,
NFS,numération formule sanguine,
NGS,next generation sequencing (séquençage de nouvelle génération),
NIA,néphrite interstitielle aigüe,
NIHSS,NIH Stroke Scale (score diagnostique et de gravité des accidents vasculaires cérébraux),
NOIA,neuropathie optique ischémique antérieure,noya
NOIAA,neuropathie optique ischémique antérieure aigüe,noya-a
NORB,névrite optique rétrobulbaire,norbe
NOVI,nombreuses victimes,novi
NSTEMI,non ST segment elevation myocardial infarction (infarctus du myocarde sans élévation du segment ST),N-stémi
NT-proBNP,Prohormone N-terminale du peptide cérébral natriurétique,N-T-pro-B-N-P
NTA,nécrose tubulaire aigüe,
NTI,néphrite tubulo-interstitielle,
NTIA,néphrite tubulo-interstitielle aigüe,
NVCI,nausées/vomissements chimio-induits,
NYHA,classification de la NYHA évaluant la sévérité de l'insuffisance cardiaque,
OEDT,Observatoire européen des drogues et toxicomanies,
OGE,organes génitaux externes (voir appareil reproducteur),
OMA,otite moyenne aigüe,
OMAP,otite moyenne aiguë purulente,
OMI,œdème des membres inférieurs,
OPP,ordonnance de placement provisoire,
OPSI,overwhelming post-splenectomy infection,o-psy;oupsie
